date,code,oneDayAfter(open)(reg),oneDayAfter(open)(reg),oneDay(close-open)(reg),oneDay(close-close)(reg),IXICClose-,GSPCClose-,SOXClose-,IXICOpen-,GSPCOpen-,SOXOpen-
2004-04-15,0000,0,0.0149085,0.0099601,0.0119401,-0.0113277,0.0005935,-0.0293805,-0.0120304,0.0005935,-0.0293805,
2004-04-16,0000,-0,-0.0021777,-0.0108081,-0.0057559,-0.0032219,0.0050854,-0.0179531,-0.0035382,0.0050416,-0.0179531,
2004-04-19,0000,-0,-0.0052648,-0.0055280,0.0030574,0.0122202,0.0010653,0.0141470,0.0134726,0.0011093,0.0141470,
2004-04-20,0000,0,0.0096274,0.0012481,0.0015095,-0.0211257,-0.0158029,-0.0368959,-0.0178138,-0.0158029,-0.0368959,
2004-04-21,0000,-0,-0.0112658,-0.0201691,-0.0116101,0.0085186,0.0052843,0.0189239,0.0027250,0.0052843,0.0189239,
2004-04-22,0000,-0,-0.0056953,-0.0064107,0.0023725,0.0183382,0.0138956,0.0035798,0.0260372,0.0138956,0.0035798,
2004-04-23,0000,-0,-0.0052668,-0.0062885,-0.0055732,0.0082253,0.0005874,0.0153695,0.0030844,0.0005874,0.0153695,
2004-04-26,0000,-0,-0.0122387,-0.0106397,-0.0096136,-0.0063827,-0.0044649,-0.0278673,-0.0057436,-0.0044649,-0.0260519,
2004-04-27,0000,-0,-0.0233339,-0.0093616,-0.0109586,-0.0020861,0.0022669,-0.0137083,-0.0069531,0.0022669,-0.0161311,
2004-04-28,0000,-0,-0.0242504,-0.0129283,-0.0269501,-0.0216080,-0.0139878,-0.0130216,-0.0196027,-0.0139878,-0.0080551,
2004-04-29,0000,-0,-0.0374988,-0.0349194,-0.0464872,-0.0157037,-0.0076489,-0.0262609,-0.0127338,-0.0076489,-0.0281222,
2004-04-30,0000,0,0.0011294,-0.0120784,-0.0146009,-0.0201182,-0.0059514,-0.0157843,-0.0175090,-0.0059514,-0.0132149,
2004-05-03,0000,0,0.0131483,0.0127098,0.0255941,0.0095785,0.0091186,-0.0059201,0.0070275,0.0091186,-0.0109783,
2004-05-04,0000,-0,-0.0420899,-0.0575088,-0.0570391,0.0060293,0.0018400,0.0165957,0.0064553,0.0018400,0.0165957,
2004-05-05,0000,-0,-0.0081301,-0.0052557,0.0094013,0.0034640,0.0017654,0.0087120,-0.0046868,0.0017654,0.0087120,
2004-05-06,0000,0,0.0062027,0.0243897,0.0216001,-0.0100736,-0.0067685,0.0005083,-0.0072521,-0.0067685,0.0005083,
2004-05-07,0000,-0,-0.0126372,-0.0179689,-0.0369456,-0.0103130,-0.0139164,0.0099123,-0.0142435,-0.0139164,0.0099123,
2004-05-10,0000,0,0.0192344,0.0052053,0.0104156,-0.0115449,-0.0106520,0.0041185,0.0024980,-0.0106520,0.0041185,
2004-05-11,0000,-0,-0.0070827,-0.0019752,0.0121552,0.0182670,0.0076042,0.0239285,0.0077014,0.0076042,0.0239285,
2004-05-12,0000,0,0.0002917,-0.0017708,-0.0068772,-0.0029913,0.0016678,-0.0178610,-0.0029657,0.0016678,-0.0178610,
2004-05-13,0000,-0,-0.0528568,-0.0264794,-0.0243660,0.0002284,-0.0007661,-0.0050700,0.0019974,-0.0007661,-0.0050700,
2004-05-14,0000,-0,-0.0239863,-0.0272882,-0.0536863,-0.0114376,-0.0006754,-0.0190248,-0.0220142,-0.0006754,-0.0190248,
2004-05-17,0000,0,0.0333100,0.0102633,0.0134445,-0.0147125,-0.0107001,-0.0135973,0.0059346,-0.0107001,-0.0135973,
2004-05-18,0000,0,0.0155364,0.0290756,0.0516843,0.0111602,0.0067706,0.0185724,0.0131885,0.0067706,0.0185724,
2004-05-19,0000,0,0.0096126,0.0060788,-0.0077812,0.0001844,-0.0025811,0.0095688,-0.0077781,-0.0025811,0.0095688,
2004-05-20,0000,0,0.0154164,0.0216029,0.0250816,-0.0008331,0.0004682,-0.0085045,0.0038010,0.0004682,-0.0085045,
2004-05-21,0000,-0,-0.0017542,0.0024604,-0.0038471,0.0081063,0.0039961,0.0093850,0.0077044,0.0039961,0.0093850,
2004-05-24,0000,0,0.0297531,0.0069314,0.0027356,0.0056631,0.0016889,0.0051244,-0.0020459,0.0016889,0.0051244,
2004-05-25,0000,-0,-0.0048740,-0.0118229,0.0114297,0.0212099,0.0158483,0.0307482,0.0205083,0.0158483,0.0307482,
2004-05-26,0000,0,0.0030030,-0.0059506,0.0009581,0.0058194,0.0016952,0.0063573,0.0108989,0.0016952,0.0063573,
2004-05-27,0000,0,0.0031050,0.0081518,0.0169799,0.0042076,0.0056543,0.0088505,0.0013951,0.0056543,0.0088505,
2004-06-02,0000,-0,-0.0421752,-0.0413721,-0.0360084,-0.0009000,0.0033689,-0.0230908,-0.0057060,0.0033689,-0.0230908,
2004-06-03,0000,0,0.0234241,0.0100980,0.0093347,-0.0146511,-0.0074778,-0.0251165,-0.0006103,-0.0074778,-0.0251165,
2004-06-04,0000,0,0.0336354,0.0223743,0.0355351,0.0092792,0.0052205,0.0158629,0.0045289,0.0052205,0.0158629,
2004-06-07,0000,-0,-0.0055022,-0.0030451,0.0085088,0.0207857,0.0157135,0.0354553,0.0094742,0.0157135,0.0354553,
2004-06-08,0000,-0,-0.0094947,-0.0010778,-0.0035302,0.0014381,0.0015409,0.0024315,0.0021439,0.0015409,0.0024315,
2004-06-09,0000,-0,-0.0187934,-0.0082573,-0.0167345,-0.0165376,-0.0095905,-0.0335354,-0.0091346,-0.0095905,-0.0335354,
2004-06-15,0000,-0,-0.0295024,-0.0291394,-0.0155265,0.0128332,0.0059363,0.0123700,0.0073557,0.0059363,0.0123700,
2004-06-16,0000,0,0.0125426,0.0187400,0.0183940,0.0013162,0.0013674,-0.0042831,-0.0017104,0.0013674,-0.0042831,
2004-06-17,0000,0,0.0066724,-0.0106854,-0.0170686,-0.0073399,-0.0013339,-0.0349550,-0.0080495,-0.0013339,-0.0349550,
2004-06-18,0000,-0,-0.0133803,-0.0198091,-0.0022946,0.0015402,0.0026167,-0.0007946,0.0065551,0.0026167,-0.0007946,
2004-06-21,0000,0,0.0301544,0.0240012,0.0301538,-0.0062551,-0.0041759,-0.0051246,0.0006175,-0.0005377,0.0286008,
2004-06-23,0000,0,0.0003000,0.0023256,0.0086155,0.0230581,0.0120273,0.0536801,0.0138903,0.0084349,0.0208255,
2004-06-24,0000,0,0.0067578,0.0060611,0.0040431,-0.0026841,-0.0029895,-0.0119177,-0.0016710,-0.0029895,-0.0119177,
2004-06-25,0000,-0,-0.0236042,-0.0169497,-0.0162369,0.0048878,-0.0054829,0.0170805,0.0109074,-0.0054829,0.0170805,
2004-06-28,0000,0,0.0220949,0.0119829,0.0055177,-0.0027973,-0.0009529,-0.0179395,-0.0107220,-0.0009529,-0.0179395,
2004-06-29,0000,0,0.0083508,0.0066017,0.0167687,0.0074253,0.0025084,0.0207722,0.0102976,0.0025084,0.0207722,
2004-06-30,0000,-0,-0.0194346,-0.0021981,-0.0004334,0.0062799,0.0040672,0.0095652,0.0035150,0.0040672,0.0095652,
2004-07-01,0000,-0,-0.0088983,0.0014756,-0.0156977,-0.0159956,-0.0105409,-0.0386699,-0.0156100,-0.0105409,-0.0386699,
2004-07-07,0000,-0,-0.0011975,-0.0053261,-0.0025186,0.0013479,0.0018957,0.0110796,-0.0048315,0.0018957,0.0110796,
2004-07-08,0000,0,0.0112713,0.0070564,0.0111341,-0.0158940,-0.0083130,-0.0025059,-0.0027228,-0.0083130,-0.0025059,
2004-07-09,0000,-0,-0.0147197,-0.0075728,-0.0032959,0.0056568,0.0033249,0.0181540,-0.0053301,0.0033249,0.0181540,
2004-07-12,0000,-0,-0.0040350,-0.0057356,-0.0128694,-0.0048582,0.0013820,-0.0225758,0.0021337,0.0013820,-0.0225758,
2004-07-13,0000,-0,-0.0177142,-0.0127231,-0.0110106,-0.0027230,0.0007084,-0.0017256,-0.0138891,0.0007084,-0.0017256,
2004-07-14,0000,-0,-0.0171104,-0.0096107,-0.0145865,-0.0087630,-0.0033019,-0.0469240,0.0033383,-0.0033019,-0.0469240,
2004-07-15,0000,-0,-0.0033409,0.0000382,-0.0073899,-0.0011345,-0.0043192,-0.0051370,0.0031409,-0.0043192,-0.0051370,
2004-07-16,0000,-0,-0.0054751,0.0010002,-0.0023756,-0.0156971,-0.0048121,-0.0196609,-0.0196553,-0.0048121,-0.0196609,
2004-07-19,0000,-0,-0.0121373,-0.0240476,-0.0306853,0.0003610,-0.0004451,0.0067754,-0.0012562,-0.0004451,0.0067754,
2004-07-20,0000,-0,-0.0163745,0.0038417,0.0154276,0.0173390,0.0070084,0.0241103,0.0239677,0.0070084,0.0241103,
2004-07-21,0000,0,0.0131805,0.0160395,-0.0039291,-0.0227810,-0.0135207,-0.0384002,-0.0323590,-0.0135207,-0.0384002,
2004-07-22,0000,-0,-0.0100927,0.0002791,-0.0026257,0.0077764,0.0026987,0.0300400,0.0010830,0.0026987,0.0300400,
2004-07-23,0000,0,0.0031656,0.0024457,-0.0079037,-0.0216160,-0.0097956,-0.0366389,-0.0118979,-0.0097956,-0.0366389,
2004-07-26,0000,0,0.0176799,0.0116789,0.0123921,-0.0054757,-0.0019648,-0.0130636,-0.0044136,-0.0019648,-0.0130636,
2004-07-27,0000,-0,-0.0099215,-0.0089197,-0.0027937,0.0160933,0.0098280,0.0063538,0.0091814,0.0098280,0.0063538,
2004-07-28,0000,0,0.0067354,-0.0053405,-0.0063387,-0.0058334,0.0005386,-0.0085609,0.0054340,0.0005386,-0.0085609,
2004-07-29,0000,-0,-0.0019448,0.0010829,0.0130817,0.0121208,0.0045528,0.0284540,0.0037263,0.0045528,0.0284540,
2004-07-30,0000,-0,-0.0087036,-0.0100535,-0.0131149,0.0033380,0.0011709,0.0125831,-0.0019254,0.0011709,0.0125831,
2004-08-02,0000,-0,-0.0035853,0.0017998,0.0031338,0.0024999,0.0044279,0.0055165,0.0064701,0.0044279,0.0055165,
2004-08-03,0000,-0,-0.0007142,-0.0040531,-0.0094699,-0.0175700,-0.0063018,-0.0391602,-0.0196458,-0.0063018,-0.0391602,
2004-08-04,0000,0,0.0070027,0.0171346,0.0204031,-0.0023503,-0.0009648,0.0092934,0.0033441,-0.0009648,0.0092934,
2004-08-05,0000,-0,-0.0074619,0.0049878,-0.0052693,-0.0183517,-0.0165911,-0.0108104,-0.0282621,-0.0165911,-0.0108104,
2004-08-06,0000,0,0.0139409,0.0124105,0.0000537,-0.0251788,-0.0157241,-0.0400900,-0.0132409,-0.0157241,-0.0400900,
2004-08-09,0000,0,0.0056266,-0.0026141,-0.0010605,-0.0012679,0.0011735,0.0019091,-0.0000281,0.0011735,0.0019091,
2004-08-10,0000,-0,-0.0166183,-0.0132449,-0.0049168,0.0188312,0.0128077,0.0135892,-0.0021761,0.0128077,0.0135892,
2004-08-11,0000,-0,-0.0031014,0.0034445,0.0001267,-0.0147440,-0.0030210,-0.0544450,-0.0043768,-0.0030210,-0.0544450,
2004-08-12,0000,0,0.0088558,0.0105641,0.0040650,-0.0170786,-0.0118131,-0.0202590,-0.0046639,-0.0118131,-0.0202590,
2004-08-13,0000,0,0.0005758,-0.0053494,-0.0070852,0.0026918,0.0014745,0.0037638,-0.0016368,0.0014745,0.0037638,
2004-08-16,0000,-0,-0.0064495,-0.0077211,-0.0017819,0.0143703,0.0134712,0.0098569,0.0182340,0.0134712,0.0098569,
2004-08-17,0000,0,0.0257600,0.0144646,0.0157082,0.0069127,0.0021910,0.0142157,-0.0025732,0.0021910,0.0142157,
2004-08-18,0000,0,0.0197577,0.0200447,0.0312762,0.0197229,0.0122903,0.0328776,0.0209485,0.0122903,0.0328776,
2004-08-19,0000,0,0.0089211,0.0038255,0.0035338,-0.0063081,-0.0036106,-0.0085166,-0.0035009,-0.0036106,-0.0085166,
2004-08-20,0000,0,0.0159523,0.0016252,0.0067321,0.0098639,0.0064825,0.0022539,0.0131523,0.0064825,0.0022539,
2004-08-23,0000,0,0.0116688,0.0120412,0.0262188,0.0003698,-0.0024368,0.0104848,0.0064555,0.0059821,-0.0044759,
2004-08-26,0000,-0,-0.0033374,-0.0023268,-0.0027045,0.0076744,0.0085151,-0.0254732,-0.0003989,0.0001176,-0.0101998,
2004-08-27,0000,-0,-0.0059277,-0.0005061,-0.0015150,0.0049246,0.0024193,0.0050740,0.0004041,0.0024193,0.0050740,
2004-08-30,0000,0,0.0072554,0.0013529,-0.0040586,-0.0139396,-0.0078424,-0.0232844,-0.0099263,-0.0078424,-0.0232844,
2004-08-31,0000,0,0.0120096,0.0099554,0.0158071,0.0008759,0.0046095,-0.0070616,-0.0022745,0.0046095,-0.0070616,
2004-09-01,0000,-0,-0.0017987,-0.0029849,-0.0009038,0.0066526,0.0015101,0.0083921,0.0079328,0.0015101,0.0083921,
